indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
Inflație anuală (România),2017-12-01,103.3200,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2018-01-01,104.3200,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2018-02-01,104.7200,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2018-03-01,104.9500,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2018-04-01,105.2200,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2018-05-01,105.4100,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2018-06-01,105.4000,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2018-07-01,104.5600,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2018-08-01,105.0600,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2018-09-01,105.0300,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2018-10-01,104.2500,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2018-11-01,103.4300,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2018-12-01,103.2700,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2019-01-01,103.3200,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2019-02-01,103.8300,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2019-03-01,104.0300,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2019-04-01,104.1100,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2019-05-01,104.1000,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2019-06-01,103.8400,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2019-07-01,104.1200,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2019-08-01,103.8900,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2019-09-01,103.4900,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2019-10-01,103.4000,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2019-11-01,103.7700,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2019-12-01,104.0400,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2020-01-01,103.6000,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2020-02-01,103.0500,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2020-03-01,103.0500,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2020-04-01,102.6800,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2020-05-01,102.2600,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2020-06-01,102.5800,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2020-07-01,102.8000,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2020-08-01,102.6800,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2020-09-01,102.4500,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2020-10-01,102.2400,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2020-11-01,102.1400,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
